Sample,Rmash Species,Max Distance
GCF_001938135.1_ASM193813v1_genomic,Brucella melitensis,0.000235701
GCF_002191915.1_ASM219191v1_genomic,Brucella melitensis,7.82718e-05
GCF_006507855.1_ASM650785v1_genomic,Brucella melitensis,0.000314862
GCF_000370905.1_Bruc_ovis_81_8_V1_genomic,Brucella ovis,0.0
GCF_002191815.1_ASM219181v1_genomic,Brucella melitensis,0.000235701
GCF_001866335.1_ASM186633v1_genomic,Brucella abortus,0.000394323
GCF_000590795.1_ASM59079v1_genomic,Brucella ceti,0.000394323
GCF_000367005.1_Bruc_meli_F6_05-6_V1_genomic,Brucella melitensis,0.0
GCF_001758265.1_ASM175826v1_genomic,Brucella canis,0.000474086
GCF_004137225.1_ASM413722v1_genomic,Brucella abortus,7.82718e-05
GCF_000740415.1_ASM74041v1_genomic,Brucella melitensis,7.82718e-05
GCF_000413735.1_Bruc_abor_biovar_1_94-1313_V1_genomic,Brucella abortus,0.0
GCF_000366625.1_Bruc_meli_CNGB_1076_V1_genomic,Brucella melitensis,0.000156838
GCF_000366965.1_Bruc_meli_F3_02_V1_genomic,Brucella melitensis,7.82718e-05
GCF_000366265.1_Bruc_suis_CNGB_786_V1_genomic,Brucella suis,7.82718e-05
GCF_001608355.1_BMEL002-SEQ-1-ASM-1_genomic,Brucella melitensis,0.000314862
GCF_000479955.1_Bruc_abor_01-4165_V1_genomic,Brucella abortus,0.0
GCF_000370565.1_Bruc_abor_R42-08_V1_genomic,Brucella abortus,0.0
GCF_009017355.1_ASM901735v1_genomic,Brucella melitensis,0.0
GCF_003010715.1_ASM301071v1_genomic,Brucella canis,0.000394323
GCF_000018525.1_ASM1852v1_genomic,Brucella canis,0.0
GCF_000365865.1_Bruc_meli_B115_V1_genomic,Brucella melitensis,0.000156838
GCF_002191675.1_ASM219167v1_genomic,Brucella melitensis,0.000235701
GCF_001937885.1_ASM193788v1_genomic,Brucella melitensis,7.82718e-05
GCF_000158735.1_ASM15873v1_genomic,Brucella melitensis,0.000235701
GCF_002291205.1_ASM229120v1_genomic,Brucella abortus,0.000156838
GCF_000371005.1_Bruc_sp_F8_99_V1_genomic,Brucella sp,0.0
GCF_000158755.1_ASM15875v1_genomic,Brucella sp,0.0
GCF_009664925.1_ASM966492v1_genomic,Brucella sp,0.0
GCF_000018905.1_ASM1890v1_genomic,Brucella suis,7.82718e-05
GCF_002191375.1_ASM219137v1_genomic,Brucella melitensis,0.000156838
GCF_003994175.1_ASM399417v1_genomic,Brucella suis,0.000156838
GCF_000367045.1_Bruc_meli_UK19_04_V1_genomic,Brucella melitensis,0.000235701
GCF_000367305.1_Bruc_cani_F7_05A_V1_genomic,Brucella canis,0.00153929
GCF_006507295.1_ASM650729v1_genomic,Brucella melitensis,0.000235701
GCF_006507375.1_ASM650737v1_genomic,Brucella melitensis,0.000314862
GCF_000366645.1_Bruc_abor_NI518_V1_genomic,Brucella abortus,0.0
GCF_000366905.1_Bruc_meli_CNGB_290_V1_genomic,Brucella melitensis,0.000156838
GCF_002262995.1_ASM226299v1_genomic,Brucella abortus,7.82718e-05
GCF_000740945.1_ASM74094v1_genomic,Brucella abortus,0.0
GCF_000292025.1_ASM29202v2_genomic,Brucella abortus,7.82718e-05
GCF_000366025.1_Bruc_abor_RB51_V1_genomic,Brucella abortus,0.0
GCF_001267725.1_ASM126772v1_genomic,Brucella abortus,7.82718e-05
GCF_000370125.1_Bruc_abor_65_157_V1_genomic,Brucella abortus,0.000156838
GCF_006506925.1_ASM650692v1_genomic,Brucella melitensis,0.000235701
GCF_000371125.1_Bruc_suis_63_261_V1_genomic,Brucella suis,0.000235701
GCF_000685375.1_BMIND1_v1_genomic,Brucella melitensis,7.82718e-05
GCF_008761595.1_ASM876159v1_genomic,Brucella melitensis,7.82718e-05
GCF_000366805.1_Bruc_abor_NI649_V1_genomic,Brucella abortus,0.0
GCF_002895105.1_ASM289510v1_genomic,Brucella melitensis,7.82718e-05
GCF_002266765.1_ASM226676v1_genomic,Brucella melitensis,0.000156838
GCF_000480115.1_Bruc_abor_99-9971-159_V1_genomic,Brucella abortus,7.82718e-05
GCF_003993895.1_ASM399389v1_genomic,Brucella melitensis,7.82718e-05
GCF_006507975.1_ASM650797v1_genomic,Brucella melitensis,0.000156838
GCF_003989715.1_ASM398971v1_genomic,Brucella abortus,0.00128871
GCF_004208655.1_ASM420865v1_genomic,Brucella melitensis,0.000156838
GCF_001043295.1_ASM104329v1_genomic,Brucella abortus,0.000156838
GCF_000007505.1_ASM750v1_genomic,Brucella suis,0.0
GCF_000366665.1_Bruc_abor_NI628_V1_genomic,Brucella abortus,0.0
GCF_002245235.1_ASM224523v1_genomic,Brucella melitensis,0.0
GCF_000371225.1_Bruc_suis_F7_06-1_V1_genomic,Brucella suis,0.000156838
GCF_006507695.1_ASM650769v1_genomic,Brucella melitensis,0.000156838
GCF_000158715.1_ASM15871v1_genomic,Brucella neotomae,0.000235701
GCF_006507335.1_ASM650733v1_genomic,Brucella melitensis,0.000156838
GCF_001296965.1_ASM129696v1_genomic,Brucella abortus,7.82718e-05
GCF_000371245.1_Bruc_suis_F7_06-2_V1_genomic,Brucella suis,0.000156838
GCF_000473805.1_Brucella82_genomic,Brucella abortus,0.0
GCF_000238175.1_ASM23817v1_genomic,Brucella abortus,0.0
GCF_006517325.1_ASM651732v1_genomic,Brucella melitensis,0.000156838
GCF_000875695.1_ASM87569v1_genomic,Brucella suis,0.0
GCF_900446015.1_58932_C01_genomic,Brucella abortus,0.000314862
GCF_000366685.1_Bruc_abor_NI593_V1_genomic,Brucella abortus,0.0
GCF_000158995.1_ASM15899v1_genomic,Brucella pinnipedialis,0.00145543
GCF_000480095.1_Bruc_meli_02-5863-1_V1_genomic,Brucella melitensis,0.0
GCF_000245915.1_Bruc_abor_bv1_NI010_V1_genomic,Brucella abortus,0.0
GCF_900236575.1_Bru_genome10_genomic,Brucella melitensis,0.000394323
GCF_000366825.1_Bruc_cani_UK10_02_V1_genomic,Brucella canis,0.0
GCF_002290785.1_ASM229078v1_genomic,Brucella abortus,0.000959098
GCF_000366345.1_Bruc_abor_80_102_V1_genomic,Brucella abortus,7.82718e-05
GCF_000740275.1_ASM74027v1_genomic,Brucella sp,0.0
GCF_003993825.1_ASM399382v1_genomic,Brucella melitensis,7.82718e-05
GCF_002191735.1_ASM219173v1_genomic,Brucella melitensis,0.000235701
GCF_002191235.1_ASM219123v1_genomic,Brucella melitensis,0.0
GCF_000480315.1_Bruc_suis_06-988-1656_V1_genomic,Brucella suis,7.82718e-05
GCF_000157835.1_ASM15783v1_genomic,Brucella ceti,0.000394323
GCF_006506115.1_ASM650611v1_genomic,Brucella melitensis,0.000156838
GCF_000413995.1_Bruc_abor_biovar_1_87-2211_V1_genomic,Brucella abortus,0.0
GCF_900446055.1_59014_A01_genomic,Brucella abortus,0.0
GCF_000370945.1_Bruc_sp_63_311_V1_genomic,Brucella sp,0.0
GCF_003290345.1_ASM329034v1_genomic,Brucella abortus,0.0
GCF_002278585.1_ASM227858v1_genomic,Brucella melitensis,0.000235701
GCF_006507125.1_ASM650712v1_genomic,Brucella melitensis,0.000156838
GCF_000371305.1_Bruc_suis_F8_06-3_V1_genomic,Brucella suis,0.0
GCF_001402055.1_ASM140205v1_genomic,Brucella abortus,7.82718e-05
GCF_001856205.1_ASM185620v1_genomic,Brucella abortus,0.000156838
GCF_006506975.1_ASM650697v1_genomic,Brucella melitensis,0.000156838
GCF_000366705.1_Bruc_abor_NI639_V1_genomic,Brucella abortus,0.0
GCF_000370285.1_Bruc_abor_85_69_V1_genomic,Brucella abortus,0.000156838
GCF_000366325.1_Bruc_abor_78_36_V1_genomic,Brucella abortus,0.000796189
GCF_002245225.1_ASM224522v1_genomic,Brucella melitensis,0.0
GCF_006506505.1_ASM650650v1_genomic,Brucella melitensis,0.000156838
GCF_000742275.1_ASM74227v1_genomic,Brucella abortus,0.0
GCF_000480055.1_Bruc_suis_04-0115_V1_genomic,Brucella suis,7.82718e-05
GCF_000371025.1_Bruc_sp_F96_2_V1_genomic,Brucella sp,0.0
GCF_000250835.1_ASM25083v2_genomic,Brucella abortus,0.000156838
GCF_000366185.1_Bruc_abor_NI380_V1_genomic,Brucella abortus,0.0
GCF_002591255.1_ASM259125v1_genomic,Brucella canis,0.0
GCF_000365885.1_Bruc_ovis_IntaBari-2006-46-332_V1_genomic,Brucella ovis,7.82718e-05
GCF_006506685.1_ASM650668v1_genomic,Brucella melitensis,0.000156838
GCF_001857585.1_ASM185758v1_genomic,Brucella melitensis,7.82718e-05
GCF_000157675.1_ASM15767v1_genomic,Brucella abortus,0.000156838
GCF_003856415.1_ASM385641v1_genomic,Brucella melitensis,0.0
GCF_009664965.1_ASM966496v1_genomic,Brucella suis,0.022937400000000004
GCF_000182725.1_ASM18272v1_genomic,Brucella ceti,0.0216179
GCF_002191655.1_ASM219165v1_genomic,Brucella melitensis,0.000235701
GCF_000366525.1_Bruc_abor_CNGB_1432_V1_genomic,Brucella abortus,0.0
GCF_000370305.1_Bruc_abor_87_28_V1_genomic,Brucella abortus,7.82718e-05
GCF_000369945.1_Bruc_abor_544_V1_genomic,Brucella abortus,0.0
GCF_000236255.1_ASM23625v1_genomic,Brucella suis,0.0
GCF_000366385.1_Bruc_abor_85_140_V1_genomic,Brucella abortus,7.82718e-05
GCF_006506985.1_ASM650698v1_genomic,Brucella melitensis,0.000235701
GCF_006507825.1_ASM650782v1_genomic,Brucella melitensis,0.000474086
GCF_002191575.1_ASM219157v1_genomic,Brucella melitensis,0.0
GCF_000590815.1_ASM59081v1_genomic,Brucella ceti,0.000715202
GCF_006506425.1_ASM650642v1_genomic,Brucella melitensis,0.000715202
GCF_000370885.1_Bruc_ovis_63_96_V1_genomic,Brucella ovis,0.0
GCF_003993935.1_ASM399393v1_genomic,Brucella melitensis,0.000156838
GCF_001766425.1_ASM176642v1_genomic,Brucella melitensis,0.000394323
GCF_000366605.1_Bruc_abor_63_59_V1_genomic,Brucella abortus,0.000156838
GCF_900236485.1_Bru_genome24_genomic,Brucella melitensis,0.000394323
GCF_000366585.1_Bruc_meli_UK22_06_V1_genomic,Brucella melitensis,0.000634523
GCF_002290725.1_ASM229072v1_genomic,Brucella abortus,0.001878
GCF_000413775.1_Bruc_abor_biovar_1_01-0585_V1_genomic,Brucella abortus,7.82718e-05
GCF_002191435.1_ASM219143v1_genomic,Brucella melitensis,0.000314862
GCF_000298635.1_V1.0_of_Brucella_abortus_bv.1_str_134_genomic,Brucella abortus,0.000156838
GCF_003205535.1_ASM320553v1_genomic,Brucella melitensis,7.82718e-05
GCF_000705095.1_Brucella_melitensis_C-554_genomic,Brucella melitensis,7.82718e-05
GCF_000739325.1_ASM73932v1_genomic,Brucella abortus,0.00104102
GCF_002291345.1_ASM229134v1_genomic,Brucella abortus,7.82718e-05
GCF_000370145.1_Bruc_abor_65_63_V1_genomic,Brucella abortus,7.82718e-05
GCF_000370465.1_Bruc_abor_F6_05-4_V1_genomic,Brucella abortus,0.000156838
GCF_000209575.2_ASM20957v2_genomic,Brucella melitensis,0.000235701
GCF_000399725.1_Bruc_abor_I103_UK3_01_V1_genomic,Brucella abortus,0.0
GCF_002192155.1_ASM219215v1_genomic,Brucella melitensis,0.000156838
GCF_000530495.1_Oliveri_genomic,Brucella canis,0.000156838
GCF_001856265.1_ASM185626v1_genomic,Brucella abortus,0.000235701
GCF_900236525.1_Bru_genome6_genomic,Brucella melitensis,0.000394323
GCF_000365665.1_Bruc_abor_NI240_V1_genomic,Brucella abortus,0.0
GCF_900446065.1_58932_F01_genomic,Brucella abortus,0.0
GCF_001302525.1_ASM130252v1_genomic,Brucella melitensis,0.000394323
GCF_003989905.1_ASM398990v1_genomic,Brucella abortus,0.00104102
GCF_000292125.1_ASM29212v1_genomic,Brucella melitensis,7.82718e-05
GCF_900236565.1_Bru_genome8_genomic,Brucella melitensis,0.000474086
GCF_006508025.1_ASM650802v1_genomic,Brucella melitensis,0.000156838
GCF_006507105.1_ASM650710v1_genomic,Brucella melitensis,0.000235701
GCF_000371045.1_Bruc_sp_UK1_97_V1_genomic,Brucella sp,0.0
GCF_000691585.1_ASM69158v1_genomic,Brucella canis,0.000156838
GCF_000472245.1_Denovo_assembly_genomic,Brucella abortus,7.82718e-05
GCF_001702255.1_ASM170225v1_genomic,Brucella melitensis,7.82718e-05
GCF_000365785.1_Bruc_abor_F1_06-B1_V1_genomic,Brucella abortus,7.82718e-05
GCF_002191295.1_ASM219129v1_genomic,Brucella melitensis,0.000235701
GCF_001856305.1_ASM185630v1_genomic,Brucella abortus,7.82718e-05
GCF_900236425.1_Bru_genome11_genomic,Brucella melitensis,0.000474086
GCF_002262975.1_ASM226297v1_genomic,Brucella abortus,0.0
GCF_006507875.1_ASM650787v1_genomic,Brucella melitensis,0.000156838
GCF_003194755.1_ASM319475v1_genomic,Brucella abortus,7.82718e-05
GCF_003194805.1_ASM319480v1_genomic,Brucella abortus,7.82718e-05
GCF_000370505.1_Bruc_abor_NI352_V1_genomic,Brucella abortus,0.0
GCF_000366925.1_Bruc_meli_F10_05-2_V1_genomic,Brucella melitensis,7.82718e-05
GCF_006507325.1_ASM650732v1_genomic,Brucella melitensis,0.000156838
GCF_006507245.1_ASM650724v1_genomic,Brucella melitensis,0.000156838
GCF_000413635.1_Bruc_abor_biovar_1_90-0962_V1_genomic,Brucella abortus,7.82718e-05
GCF_900446115.1_59302_H01_genomic,Brucella neotomae,0.005991
GCF_900236385.1_Bru_genome37_genomic,Brucella melitensis,0.000474086
GCF_001937825.1_ASM193782v1_genomic,Brucella melitensis,0.000314862
GCF_000182425.1_ASM18242v1_genomic,Brucella sp,0.0
GCF_003989895.1_ASM398989v1_genomic,Brucella melitensis,0.000156838
GCF_000740135.1_ASM74013v1_genomic,Brucella abortus,0.0
GCF_003860205.1_ASM386020v1_genomic,Ochrobactrum anthropi,0.16030899999999998
GCF_003989885.1_ASM398988v1_genomic,Brucella melitensis,0.000156838
GCF_003989955.1_ASM398995v1_genomic,Brucella abortus,0.00104102
GCF_004684165.1_ASM468416v1_genomic,Brucella suis,0.0
GCF_000370585.1_Bruc_cani_79_122_V1_genomic,Brucella canis,0.000394323
GCF_003516045.1_ASM351604v1_genomic,Brucella melitensis,7.82718e-05
GCF_000245975.1_Bruc_abor_bv1_NI259_V1_genomic,Brucella abortus,7.82718e-05
GCF_002192015.1_ASM219201v1_genomic,Brucella melitensis,0.000235701
GCF_006506735.1_ASM650673v1_genomic,Brucella melitensis,0.000634523
GCF_900417205.1_00-2956-4_genomic,Brucella melitensis,0.000156838
GCF_001401925.1_ASM140192v1_genomic,Brucella abortus,7.82718e-05
GCF_000740215.1_ASM74021v1_genomic,Brucella abortus,7.82718e-05
GCF_900491925.1_10469_genomic,Brucella canis,0.000156838
GCF_000250795.1_ASM25079v2_genomic,Brucella melitensis,7.82718e-05
GCF_004208675.1_ASM420867v1_genomic,Brucella melitensis,0.000156838
GCF_006507545.1_ASM650754v1_genomic,Brucella melitensis,0.000156838
GCF_002278675.1_ASM227867v1_genomic,Brucella melitensis,0.000156838
GCF_006506725.1_ASM650672v1_genomic,Brucella melitensis,0.000394323
GCF_002191355.1_ASM219135v1_genomic,Brucella melitensis,0.000235701
GCF_002192175.1_ASM219217v1_genomic,Brucella melitensis,0.0
GCF_000742005.1_ASM74200v1_genomic,Brucella suis,0.0
GCF_900446125.1_57572_C01_genomic,Brucella neotomae,0.000235701
GCF_002150345.1_ASM215034v1_genomic,Brucella melitensis,0.000156838
GCF_000365605.1_Bruc_abor_F2_06-8_V1_genomic,Brucella abortus,7.82718e-05
GCF_000209615.2_ASM20961v2_genomic,Brucella melitensis,7.82718e-05
GCF_006506995.1_ASM650699v1_genomic,Brucella melitensis,0.000156838
GCF_000478665.1_Bruc_abor_biovar_1_80-1399_V1_genomic,Brucella abortus,0.0
GCF_000157795.1_ASM15779v1_genomic,Brucella pinnipedialis,0.00112327
GCF_000370325.1_Bruc_abor_877_67_V1_genomic,Brucella abortus,0.0
GCF_002191695.1_ASM219169v1_genomic,Brucella melitensis,7.82718e-05
GCF_002191255.1_ASM219125v1_genomic,Brucella melitensis,7.82718e-05
GCF_000157815.1_ASM15781v1_genomic,Brucella pinnipedialis,0.000235701
GCF_001302495.1_ASM130249v1_genomic,Brucella melitensis,0.000156838
GCF_006507475.1_ASM650747v1_genomic,Brucella melitensis,0.000235701
GCF_002191455.1_ASM219145v1_genomic,Brucella melitensis,0.000235701
GCF_003993905.1_ASM399390v1_genomic,Brucella melitensis,7.82718e-05
GCF_900236515.1_Bru_genome43_genomic,Brucella melitensis,0.000314862
GCF_000365565.1_Bruc_suis_F8_06-2_V1_genomic,Brucella suis,0.0005541519999999999
GCF_003194855.1_ASM319485v1_genomic,Brucella suis,7.82718e-05
GCF_001038665.1_ASM103866v1_genomic,Brucella abortus,7.82718e-05
GCF_000366485.1_Bruc_abor_93_1_V1_genomic,Brucella abortus,0.0
GCF_006506035.1_ASM650603v1_genomic,Brucella melitensis,0.000156838
GCF_900236375.1_Bru_genome9_genomic,Brucella melitensis,0.000394323
GCF_000227645.1_ASM22764v1_genomic,Brucella melitensis,0.000235701
GCF_001302485.1_ASM130248v1_genomic,Brucella melitensis,0.000156838
GCF_002191515.1_ASM219151v1_genomic,Brucella melitensis,0.000235701
GCF_001402105.1_ASM140210v1_genomic,Brucella abortus,0.000156838
GCF_000158775.1_ASM15877v1_genomic,Brucella sp,0.0
GCF_000371345.1_Bruc_ovis_IntaBari-2010-47-268_V1_genomic,Brucella ovis,0.0
GCF_002749475.1_ASM274947v1_genomic,Brucella suis,0.0
GCF_000371265.1_Bruc_suis_F7_06-5_V1_genomic,Brucella suis,0.000235701
GCF_000245855.1_Bruc_abor_bv1_NI486_V1_genomic,Brucella abortus,0.0
GCF_003516065.1_ASM351606v1_genomic,Brucella melitensis,7.82718e-05
GCF_001856215.1_ASM185621v1_genomic,Brucella abortus,0.000156838
GCF_006508005.1_ASM650800v1_genomic,Brucella melitensis,0.000156838
GCF_003432005.1_ASM343200v1_genomic,Brucella melitensis,0.000235701
GCF_006517295.1_ASM651729v1_genomic,Brucella melitensis,0.000314862
GCF_006507455.1_ASM650745v1_genomic,Brucella melitensis,0.000314862
GCF_900446025.1_58932_E01_genomic,Brucella abortus,7.82718e-05
GCF_002204265.1_ASM220426v1_genomic,Brucella melitensis,0.0
GCF_002631235.1_ASM263123v1_genomic,Brucella melitensis,7.82718e-05
