sample,top_taxonomy_name,distance,pvalue,matching,full_taxonomy,taxonomic_species,taxonomic_genus,taxonomic_family,taxonomic_order,taxonomic_class,taxonomic_phylum,taxonomic_superkingdom,subspecies,serovar,plasmid,bioproject,biosample,taxid,assembly_accession,match_id
GCF_006517315.1_ASM651731v1_genomic,Brucella melitensis F15/06-7,0.0,0.0,400/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; melitensis; F15/06-7,Brucella melitensis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA201689,SAMN01798237,1244532,NZ_AQID,./rcn/refseq-NZ-1244532-PRJNA201689-SAMN01798237-NZ_AQID-.-Brucella_melitensis_F15_06_7.fna
GCF_006517315.1_ASM651731v1_genomic,Brucella melitensis R3/07-2,7.82718e-05,0.0,399/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; melitensis; R3/07-2,Brucella melitensis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA201828,SAMN00811215,1160218,NZ_AQNM,./rcn/refseq-NZ-1160218-PRJNA201828-SAMN00811215-NZ_AQNM-.-Brucella_melitensis_R3_07_2.fna
GCF_006517315.1_ASM651731v1_genomic,Brucella melitensis F5/07-239A,7.82718e-05,0.0,399/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; melitensis; F5/07-239A,Brucella melitensis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA201826,SAMN00811212,1160215,NZ_AQNK,./rcn/refseq-NZ-1160215-PRJNA201826-SAMN00811212-NZ_AQNK-.-Brucella_melitensis_F5_07_239A.fna
GCF_006517315.1_ASM651731v1_genomic,Brucella melitensis bv. 3 str. Ether,0.000156838,0.0,398/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; melitensis; bv. 3; str. Ether,Brucella melitensis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224116,SAMN02795947,520466,GCF_000740355.1,./rcn/refseq-NZ-520466-PRJNA224116-SAMN02795947-GCF_000740355.1-.-Brucella_melitensis_bv._3_str._Ether.fna
GCF_006517315.1_ASM651731v1_genomic,Brucella melitensis bv. 3 str. Ether,0.000156838,0.0,398/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; melitensis; bv. 3; str. Ether,Brucella melitensis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224116,SAMN02595290,520466,GCF_000158735.1,./rcn/refseq-NZ-520466-PRJNA224116-SAMN02595290-GCF_000158735.1-.-Brucella_melitensis_bv._3_str._Ether.fna
GCF_000370445.1_Bruc_abor_F6_05-3_V1_genomic,Brucella abortus F6/05-3,0.0,0.0,400/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus; F6/05-3,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224116,SAMN00811179,1160207,GCF_000370445.1,./rcn/refseq-NZ-1160207-PRJNA224116-SAMN00811179-GCF_000370445.1-.-Brucella_abortus_F6_05_3.fna
GCF_000370445.1_Bruc_abor_F6_05-3_V1_genomic,Brucella abortus bv. 3 str. Tulya,7.82718e-05,0.0,399/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus; bv. 3; str. Tulya,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224116,SAMN02595277,520451,GCF_000157715.1,./rcn/refseq-NZ-520451-PRJNA224116-SAMN02595277-GCF_000157715.1-.-Brucella_abortus_bv._3_str._Tulya.fna
GCF_000370445.1_Bruc_abor_F6_05-3_V1_genomic,Brucella abortus,7.82718e-05,0.0,399/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224116,SAMN02767934,235,GCF_000740155.1,./rcn/refseq-NZ-235-PRJNA224116-SAMN02767934-GCF_000740155.1-.-Brucella_abortus.fna
GCF_000370445.1_Bruc_abor_F6_05-3_V1_genomic,Brucella abortus,7.82718e-05,0.0,399/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224116,SAMN02786918,235,GCF_000740315.1,./rcn/refseq-NZ-235-PRJNA224116-SAMN02786918-GCF_000740315.1-.-Brucella_abortus.fna
GCF_000370445.1_Bruc_abor_F6_05-3_V1_genomic,Brucella abortus F1/06-B21,0.000235701,0.0,397/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus; F1/06-B21,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224116,SAMN00839722,1169218,GCF_000370365.1,./rcn/refseq-NZ-1169218-PRJNA224116-SAMN00839722-GCF_000370365.1-.-Brucella_abortus_F1_06_B21.fna
GCF_006517335.1_ASM651733v1_genomic,Brucella melitensis F15/06-7,0.0,0.0,400/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; melitensis; F15/06-7,Brucella melitensis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA201689,SAMN01798237,1244532,NZ_AQID,./rcn/refseq-NZ-1244532-PRJNA201689-SAMN01798237-NZ_AQID-.-Brucella_melitensis_F15_06_7.fna
GCF_006517335.1_ASM651733v1_genomic,Brucella melitensis R3/07-2,7.82718e-05,0.0,399/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; melitensis; R3/07-2,Brucella melitensis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA201828,SAMN00811215,1160218,NZ_AQNM,./rcn/refseq-NZ-1160218-PRJNA201828-SAMN00811215-NZ_AQNM-.-Brucella_melitensis_R3_07_2.fna
GCF_006517335.1_ASM651733v1_genomic,Brucella melitensis F5/07-239A,7.82718e-05,0.0,399/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; melitensis; F5/07-239A,Brucella melitensis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA201826,SAMN00811212,1160215,NZ_AQNK,./rcn/refseq-NZ-1160215-PRJNA201826-SAMN00811212-NZ_AQNK-.-Brucella_melitensis_F5_07_239A.fna
GCF_006517335.1_ASM651733v1_genomic,Brucella melitensis bv. 3 str. Ether,0.000156838,0.0,398/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; melitensis; bv. 3; str. Ether,Brucella melitensis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224116,SAMN02795947,520466,GCF_000740355.1,./rcn/refseq-NZ-520466-PRJNA224116-SAMN02795947-GCF_000740355.1-.-Brucella_melitensis_bv._3_str._Ether.fna
GCF_006517335.1_ASM651733v1_genomic,Brucella melitensis bv. 3 str. Ether,0.000156838,0.0,398/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; melitensis; bv. 3; str. Ether,Brucella melitensis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224116,SAMN02595290,520466,GCF_000158735.1,./rcn/refseq-NZ-520466-PRJNA224116-SAMN02595290-GCF_000158735.1-.-Brucella_melitensis_bv._3_str._Ether.fna
GCF_000370065.1_Bruc_abor_63_294_V1_genomic,Brucella abortus 63/294,0.0,0.0,400/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus; 63/294,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224116,SAMN00811181,1160181,GCF_000370065.1,./rcn/refseq-NZ-1160181-PRJNA224116-SAMN00811181-GCF_000370065.1-.-Brucella_abortus_63_294.fna
GCF_000370065.1_Bruc_abor_63_294_V1_genomic,Brucella abortus 07-0994-2411,7.82718e-05,0.0,399/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus; 07-0994-2411,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224798,SAMN02334512,1341672,NZ_AXND,./rcn/refseq-NZ-1341672-PRJNA224798-SAMN02334512-NZ_AXND-.-Brucella_abortus_07_0994_2411.fna
GCF_000370065.1_Bruc_abor_63_294_V1_genomic,Brucella abortus 88/217,0.000394323,0.0,395/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus; 88/217,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224116,SAMN01047748,1198697,GCF_000370345.1,./rcn/refseq-NZ-1198697-PRJNA224116-SAMN01047748-GCF_000370345.1-.-Brucella_abortus_88_217.fna
GCF_000370065.1_Bruc_abor_63_294_V1_genomic,Brucella abortus bv. 1 str. NI016,0.00128871,0.0,384/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus; bv. 1; str. NI016,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224116,SAMN02596744,1051060,GCF_000245935.1,./rcn/refseq-NZ-1051060-PRJNA224116-SAMN02596744-GCF_000245935.1-.-Brucella_abortus_bv._1_str._NI016.fna
GCF_000370065.1_Bruc_abor_63_294_V1_genomic,Brucella abortus bv. 1 str. NI435a,0.00128871,0.0,384/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus; bv. 1; str. NI435a,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224116,SAMN02596739,1051055,GCF_000245835.1,./rcn/refseq-NZ-1051055-PRJNA224116-SAMN02596739-GCF_000245835.1-.-Brucella_abortus_bv._1_str._NI435a.fna
GCF_006507665.1_ASM650766v1_genomic,Brucella melitensis F15/06-7,0.0,0.0,400/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; melitensis; F15/06-7,Brucella melitensis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA201689,SAMN01798237,1244532,NZ_AQID,./rcn/refseq-NZ-1244532-PRJNA201689-SAMN01798237-NZ_AQID-.-Brucella_melitensis_F15_06_7.fna
GCF_006507665.1_ASM650766v1_genomic,Brucella melitensis R3/07-2,7.82718e-05,0.0,399/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; melitensis; R3/07-2,Brucella melitensis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA201828,SAMN00811215,1160218,NZ_AQNM,./rcn/refseq-NZ-1160218-PRJNA201828-SAMN00811215-NZ_AQNM-.-Brucella_melitensis_R3_07_2.fna
GCF_006507665.1_ASM650766v1_genomic,Brucella melitensis F5/07-239A,7.82718e-05,0.0,399/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; melitensis; F5/07-239A,Brucella melitensis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA201826,SAMN00811212,1160215,NZ_AQNK,./rcn/refseq-NZ-1160215-PRJNA201826-SAMN00811212-NZ_AQNK-.-Brucella_melitensis_F5_07_239A.fna
GCF_006507665.1_ASM650766v1_genomic,Brucella melitensis bv. 3 str. Ether,0.000156838,0.0,398/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; melitensis; bv. 3; str. Ether,Brucella melitensis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224116,SAMN02795947,520466,GCF_000740355.1,./rcn/refseq-NZ-520466-PRJNA224116-SAMN02795947-GCF_000740355.1-.-Brucella_melitensis_bv._3_str._Ether.fna
GCF_006507665.1_ASM650766v1_genomic,Brucella melitensis bv. 3 str. Ether,0.000156838,0.0,398/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; melitensis; bv. 3; str. Ether,Brucella melitensis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224116,SAMN02595290,520466,GCF_000158735.1,./rcn/refseq-NZ-520466-PRJNA224116-SAMN02595290-GCF_000158735.1-.-Brucella_melitensis_bv._3_str._Ether.fna
GCF_001715365.1_ASM171536v1_genomic,Brucella canis UK10/02,0.0,0.0,400/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; canis; UK10/02,Brucella canis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA201817,SAMN01047747,1198696,NZ_AQNB,./rcn/refseq-NZ-1198696-PRJNA201817-SAMN01047747-NZ_AQNB-.-Brucella_canis_UK10_02.fna
GCF_001715365.1_ASM171536v1_genomic,Brucella canis 96-7258,0.0,0.0,400/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; canis; 96-7258,Brucella canis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224800,SAMN02334510,1341685,NZ_AXNF,./rcn/refseq-NZ-1341685-PRJNA224800-SAMN02334510-NZ_AXNF-.-Brucella_canis_96_7258.fna
GCF_001715365.1_ASM171536v1_genomic,Brucella canis 04-2330-1,0.0,0.0,400/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; canis; 04-2330-1,Brucella canis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224801,SAMN02334509,1341684,NZ_AXNG,./rcn/refseq-NZ-1341684-PRJNA224801-SAMN02334509-NZ_AXNG-.-Brucella_canis_04_2330_1.fna
GCF_001715365.1_ASM171536v1_genomic,Brucella canis,0.0,0.0,400/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; canis,Brucella canis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224116,SAMN02795942,36855,GCF_000740335.1,./rcn/refseq-NZ-36855-PRJNA224116-SAMN02795942-GCF_000740335.1-.-Brucella_canis.fna
GCF_001715365.1_ASM171536v1_genomic,Brucella canis ATCC 23365,0.0,0.0,400/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; canis; ATCC 23365,Brucella canis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224116,SAMN02604295,483179,GCF_000018525.1,./rcn/refseq-NC-483179-PRJNA224116-SAMN02604295-GCF_000018525.1-.-Brucella_canis_ATCC_23365.fna
GCF_000348645.1_MD5v1_genomic,Brucella melitensis M5,0.0,0.0,400/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; melitensis; M5,Brucella melitensis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA199934,SAMN02470637,1286630,NZ_AONT,./rcn/refseq-NZ-1286630-PRJNA199934-SAMN02470637-NZ_AONT-.-Brucella_melitensis_M5.fna
GCF_000348645.1_MD5v1_genomic,Brucella melitensis bv. 1 str. 16M,7.82718e-05,0.0,399/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; melitensis; bv. 1; str. 16M,Brucella melitensis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA200008,SAMN02469571,224914,NZ_AHWC,./rcn/refseq-NZ-224914-PRJNA200008-SAMN02469571-NZ_AHWC-.-Brucella_melitensis_bv._1_str._16M.fna
GCF_000348645.1_MD5v1_genomic,Brucella melitensis 16M1W,7.82718e-05,0.0,399/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; melitensis; bv. 1; str. 16M; Brucella melitensis 16M1W,Brucella melitensis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA200009,SAMN02469567,1143190,NZ_AHWD,./rcn/refseq-NZ-1143190-PRJNA200009-SAMN02469567-NZ_AHWD-.-Brucella_melitensis_16M1W.fna
GCF_000348645.1_MD5v1_genomic,Brucella melitensis M28,7.82718e-05,0.0,399/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; melitensis; M28,Brucella melitensis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224116,SAMN02603655,941967,GCF_000192725.1,./rcn/refseq-NC-941967-PRJNA224116-SAMN02603655-GCF_000192725.1-.-Brucella_melitensis_M28.fna
GCF_000348645.1_MD5v1_genomic,Brucella melitensis bv. 1 str. BCB028,7.82718e-05,0.0,399/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; melitensis; bv. 1; str. BCB028,Brucella melitensis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA199555,SAMN02469337,1210447,NZ_ALOM,./rcn/refseq-NZ-1210447-PRJNA199555-SAMN02469337-NZ_ALOM-.-Brucella_melitensis_bv._1_str._BCB028.fna
GCF_000369905.1_Bruc_abor_225_65_V1_genomic,Brucella abortus RB51-AHVLA,0.0,0.0,400/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus; RB51-AHVLA,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA201690,SAMN01047752,1198700,NZ_AQIE,./rcn/refseq-NZ-1198700-PRJNA201690-SAMN01047752-NZ_AQIE-.-Brucella_abortus_RB51_AHVLA.fna
GCF_000369905.1_Bruc_abor_225_65_V1_genomic,Brucella abortus NI649,0.0,0.0,400/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus; NI649,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA201813,SAMN00811204,1160162,NZ_AQMX,./rcn/refseq-NZ-1160162-PRJNA201813-SAMN00811204-NZ_AQMX-.-Brucella_abortus_NI649.fna
GCF_000369905.1_Bruc_abor_225_65_V1_genomic,Brucella abortus NI240,0.0,0.0,400/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus; NI240,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA201800,SAMN00811186,1160163,NZ_AQMK,./rcn/refseq-NZ-1160163-PRJNA201800-SAMN00811186-NZ_AQMK-.-Brucella_abortus_NI240.fna
GCF_000369905.1_Bruc_abor_225_65_V1_genomic,Brucella abortus 87-2211,0.0,0.0,400/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus; 87-2211,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224116,SAMN02092510,1328347,GCF_000413995.1,./rcn/refseq-NZ-1328347-PRJNA224116-SAMN02092510-GCF_000413995.1-.-Brucella_abortus_87_2211.fna
GCF_000369905.1_Bruc_abor_225_65_V1_genomic,Brucella abortus NI274,0.0,0.0,400/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus; NI274,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA201801,SAMN00811187,1160164,NZ_AQML,./rcn/refseq-NZ-1160164-PRJNA201801-SAMN00811187-NZ_AQML-.-Brucella_abortus_NI274.fna
GCF_000480295.1_Bruc_cani_04-2330-1_V1_genomic,Brucella canis UK10/02,0.0,0.0,400/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; canis; UK10/02,Brucella canis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA201817,SAMN01047747,1198696,NZ_AQNB,./rcn/refseq-NZ-1198696-PRJNA201817-SAMN01047747-NZ_AQNB-.-Brucella_canis_UK10_02.fna
GCF_000480295.1_Bruc_cani_04-2330-1_V1_genomic,Brucella canis 96-7258,0.0,0.0,400/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; canis; 96-7258,Brucella canis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224800,SAMN02334510,1341685,NZ_AXNF,./rcn/refseq-NZ-1341685-PRJNA224800-SAMN02334510-NZ_AXNF-.-Brucella_canis_96_7258.fna
